Prediction (recommend_to_a_friend),Confidence,review
Yes,0.995606541633606,produto muito bom! recomendo a todos.
Yes,0.9950477480888368,excelente qualidade
Yes,0.9939683675765992,entrega rapida e eficiente
Yes,0.9952555894851683,muito satisfeito com a compra
Yes,0.995509684085846,produto atendeu as minhas necessidades
Yes,0.9947552680969238,otimo custo beneficio
Yes,0.9956499934196472,produto de alta qualidade
Yes,0.9951246380805968,muito facil de usar e configurar
Yes,0.99471777677536,design bonito e moderno
Yes,0.9948996305465698,super recomendo
No,0.9971457123756408,decepcionado com o produto
No,0.9890519380569458,qualidade ruim
No,0.9819250702857972,entrega atrasada e produto chegou danificado.
No,0.9954593777656556,atendimento ao cliente pessimo
No,0.9964488744735718,produto nao atendeu as minhas expectativas
No,0.8403690457344055,preco muito alto
No,0.9978010654449464,produto de baixa qualidade
No,0.9823440313339232,muito dificil de usar e configurar
No,0.9731937646865844,design feio e ultrapassado
No,0.9975653290748596,nao recomendo
